cep;resultado;
05387130;DONDOCA PURA E BELLA - Avenida dos Remédios, 613 - Remédios Osasco / SP;
05387130;AUTO POSTO CONQUISTA DA ALDEIA LTDA - Avenida Governador Mário Covas, 5600 - Jardim Pignatary Carapicuíba / SP;
05387130;Status Eletronico.com - Praça Júlio Prestes, 64 - Campos Elíseos São Paulo / SP;
05387130;BARBEARIA X7 - Avenida General Valdomiro de Lima, 656 - Jabaquara São Paulo / SP;
05387130;ANGEL'S CELULARES E GAMES - Avenida Doutor Francisco Ranieri, 833 - Lauzane Paulista São Paulo / SP;
05387130;MET@ CURSOS - Rua Baquirivu, 34 - Cidade Ademar São Paulo / SP;
05387130;ZN MARMORES E GRANITOS - Avenida General Ataliba Leonel, 727 - Santana São Paulo / SP;
05387130;Oggi Sorvetes Heliópolis - Rua Coronel Silva Castro, 214 - Cidade Nova Heliópolis São Paulo / SP;
05387130;ZAP OTICA LTDA - Largo Ubirajara, 75 - Belenzinho São Paulo / SP;
05387130;ARMAZEM DOS CEREAIS - Rua Teresina, 222 - Vila Bertioga São Paulo / SP;
04026001;BARBEARIA X7 - Avenida General Valdomiro de Lima, 656 - Jabaquara São Paulo / SP;
04026001;Oggi Sorvetes Heliópolis - Rua Coronel Silva Castro, 214 - Cidade Nova Heliópolis São Paulo / SP;
04026001;Oggi Sorvetes Ipiranga - Estrada das Lágrimas, 1858 - Ipiranga São Paulo / SP;
04026001;Status Eletronico.com - Praça Júlio Prestes, 64 - Campos Elíseos São Paulo / SP;
04026001;ARMAZEM DOS CEREAIS - Rua Teresina, 222 - Vila Bertioga São Paulo / SP;
04026001;MET@ CURSOS - Rua Baquirivu, 34 - Cidade Ademar São Paulo / SP;
04026001;ZAP OTICA LTDA - Largo Ubirajara, 75 - Belenzinho São Paulo / SP;
04026001;ZN MARMORES E GRANITOS - Avenida General Ataliba Leonel, 727 - Santana São Paulo / SP;
04026001;IN LINE - Rua Itapura, 09 - Vila Alpina Santo André / SP;
04026001;ANGEL'S CELULARES E GAMES - Avenida Doutor Francisco Ranieri, 833 - Lauzane Paulista São Paulo / SP;
05387100;DONDOCA PURA E BELLA - Avenida dos Remédios, 613 - Remédios Osasco / SP;
05387100;AUTO POSTO CONQUISTA DA ALDEIA LTDA - Avenida Governador Mário Covas, 5600 - Jardim Pignatary Carapicuíba / SP;
05387100;Status Eletronico.com - Praça Júlio Prestes, 64 - Campos Elíseos São Paulo / SP;
05387100;BARBEARIA X7 - Avenida General Valdomiro de Lima, 656 - Jabaquara São Paulo / SP;
05387100;ANGEL'S CELULARES E GAMES - Avenida Doutor Francisco Ranieri, 833 - Lauzane Paulista São Paulo / SP;
05387100;MET@ CURSOS - Rua Baquirivu, 34 - Cidade Ademar São Paulo / SP;
05387100;ZN MARMORES E GRANITOS - Avenida General Ataliba Leonel, 727 - Santana São Paulo / SP;
05387100;Oggi Sorvetes Heliópolis - Rua Coronel Silva Castro, 214 - Cidade Nova Heliópolis São Paulo / SP;
05387100;ZAP OTICA LTDA - Largo Ubirajara, 75 - Belenzinho São Paulo / SP;
05387100;Oggi Sorvetes Ipiranga - Estrada das Lágrimas, 1858 - Ipiranga São Paulo / SP;
